"﻿date","value"
"2020.01.01",4.0195
"2020.01.02",4.026
"2020.01.03",4.0669
"2020.01.04",4.065133333333334
"2020.01.05",4.063366666666667
"2020.01.06",4.0616
"2020.01.07",4.0676
"2020.01.08",4.0647
"2020.01.09",4.0925
"2020.01.10",4.096
"2020.01.11",4.112866666666667
"2020.01.12",4.129733333333333
"2020.01.13",4.1466
"2020.01.14",4.1326
"2020.01.15",4.1753
"2020.01.16",4.1847
"2020.01.17",4.1616
"2020.01.18",4.171
"2020.01.19",4.1804
"2020.01.20",4.1898
"2020.01.21",4.2123
"2020.01.22",4.1826
"2020.01.23",4.1703
"2020.01.24",4.1814
"2020.01.25",4.190066666666667
"2020.01.26",4.198733333333333
"2020.01.27",4.2074
"2020.01.28",4.1943
"2020.01.29",4.2303
"2020.01.30",4.243
"2020.01.31",4.282
"2020.02.01",4.270533333333334
"2020.02.02",4.259066666666667
"2020.02.03",4.2476
"2020.02.04",4.2545
"2020.02.05",4.2353
"2020.02.06",4.2822
"2020.02.07",4.3203
"2020.02.08",4.3218
"2020.02.09",4.3233
"2020.02.10",4.3248
"2020.02.11",4.3316
"2020.02.12",4.3548
"2020.02.13",4.3498
"2020.02.14",4.2974
"2020.02.15",4.307266666666666
"2020.02.16",4.3171333333333335
"2020.02.17",4.327
"2020.02.18",4.3557
"2020.02.19",4.3649
"2020.02.20",4.3933
"2020.02.21",4.3895
"2020.02.22",4.388933333333333
"2020.02.23",4.388366666666667
"2020.02.24",4.3878
"2020.02.25",4.3878
"2020.02.26",4.4502
"2020.02.27",4.4861
"2020.02.28",4.4733
"2020.02.29",4.473533333333333
"2020.03.01",4.473766666666667
"2020.03.02",4.474
"2020.03.03",4.5144
"2020.03.04",4.5847
"2020.03.05",4.6073
"2020.03.06",4.6269
"2020.03.07",4.658966666666666
"2020.03.08",4.691033333333333
"2020.03.09",4.7231
"2020.03.10",4.6425
"2020.03.11",4.8136
"2020.03.12",4.791
"2020.03.13",4.858
"2020.03.14",4.9054
"2020.03.15",4.9528
"2020.03.16",5.0002
"2020.03.17",5.0084
"2020.03.18",5.1064
"2020.03.19",5.0957
"2020.03.20",5.0627
"2020.03.21",5.089933333333334
"2020.03.22",5.117166666666667
"2020.03.23",5.1444
"2020.03.24",5.0983
"2020.03.25",5.0353
"2020.03.26",5.0212
"2020.03.27",5.0997
"2020.03.28",5.131
"2020.03.29",5.1623
"2020.03.30",5.1936
"2020.03.31",5.2046
"2020.04.01",5.2493
"2020.04.02",5.2533
"2020.04.03",5.3506
"2020.04.04",5.329166666666667
"2020.04.05",5.307733333333333
"2020.04.06",5.2863
"2020.04.07",5.2214
"2020.04.08",5.1233
"2020.04.09",5.107
"2020.04.10",5.1063
"2020.04.11",5.137333333333333
"2020.04.12",5.1683666666666666
"2020.04.13",5.1994
"2020.04.14",5.1621
"2020.04.15",5.2367
"2020.04.16",5.2333
"2020.04.17",5.2363
"2020.04.18",5.263133333333333
"2020.04.19",5.2899666666666665
"2020.04.20",5.3168
"2020.04.21",5.3163
"2020.04.22",5.458
"2020.04.23",5.5335
"2020.04.24",5.5907
"2020.04.25",5.6113333333333335
"2020.04.26",5.631966666666666
"2020.04.27",5.6526
"2020.04.28",5.4999
"2020.04.29",5.3348
"2020.04.30",5.4858
"2020.05.01",5.4856
"2020.05.02",5.5054
"2020.05.03",5.5252
"2020.05.04",5.545
"2020.05.05",5.5783
"2020.05.06",5.714
"2020.05.07",5.8307
"2020.05.08",5.7319
"2020.05.09",5.7606
"2020.05.10",5.7893
"2020.05.11",5.818
"2020.05.12",5.8856
"2020.05.13",5.8852
"2020.05.14",5.8115
"2020.05.15",5.8554
"2020.05.16",5.809933333333333
"2020.05.17",5.764466666666667
"2020.05.18",5.719
"2020.05.19",5.754
"2020.05.20",5.6925
"2020.05.21",5.5507
"2020.05.22",5.5338
"2020.05.23",5.504566666666667
"2020.05.24",5.475333333333333
"2020.05.25",5.4461
"2020.05.26",5.345
"2020.05.27",5.2733
"2020.05.28",5.4045
"2020.05.29",5.3361
"2020.05.30",5.345166666666667
"2020.05.31",5.354233333333333
"2020.06.01",5.3633
"2020.06.02",5.2014
"2020.06.03",5.0622
"2020.06.04",5.119
"2020.06.05",4.9585
"2020.06.06",4.913333333333333
"2020.06.07",4.868166666666667
"2020.06.08",4.823
"2020.06.09",4.8992
"2020.06.10",4.9732
"2020.06.11",4.976
"2020.06.12",5.0505
"2020.06.13",5.085566666666667
"2020.06.14",5.120633333333334
"2020.06.15",5.1557
"2020.06.16",5.243
"2020.06.17",5.2286
"2020.06.18",5.3776
"2020.06.19",5.3105
"2020.06.20",5.291133333333334
"2020.06.21",5.271766666666666
"2020.06.22",5.2524
"2020.06.23",5.1542
"2020.06.24",5.3467
"2020.06.25",5.3561
"2020.06.26",5.484
"2020.06.27",5.457133333333333
"2020.06.28",5.430266666666667
"2020.06.29",5.4034
"2020.06.30",5.4661
"2020.07.01",5.3174
"2020.07.02",5.3596
